name,line
Bilbo, My dear Frodo.
Bilbo," You asked me one once if I had told you everything there was to know about my adventures. And while I can honestly say I have told you the truth, I may not have told you all of it."
Bilbo," I am old now, Frodo. I’m not the same Hobbit I once was."
Bilbo," I think it is time for you to know what really happened. It began long ago in a land far away to the east, the like of which you will not find in the world today."
Bilbo," There was the city of Dale. Its markets known far and wide, full of the bounties of vine and"
Bilbo," Thror ruled with utter surety, never doubting his house would endure, for his line lay secure in the lives of his son and grandson. Ahhh, Frodo, Erebor; built deep within the mountain itself, the beauty of this fortress city was legend."
Bilbo," Its wealth lay in the earth, in precious gems hewed from rock, and in great seams of gold,"
Bilbo," But the years of peace and plenty were not to last. Slowly, the days turned sour, and the"
Bilbo," The first they heard was a noise like a hurricane coming down from the north. The pines on the mountain creaked and cracked in a hot, dry wind."
Thorin," Balin, sound the alarm. Call out the guard. Do it now!"
Balin, What is it?
Thorin, Dragon. Dragon!!!
Bilbo, It was a fire drake from the north. Smaug had come.
Bilbo," Such wanton death was dealt that day, for this city of men was nothing to Smaug; his eye was set on another prize. For dragons covet gold, with a dark and fierce desire."
Thorin, Stand firm!
Thror, No!
Bilbo," Erebor was lost, for a dragon will guard his plunder as long as he lives."
Thorin, Run for your lives! Help us!
Bilbo, Thranduil would not risk the lives of his kin against the wrath of the dragon. No help came
Bilbo," Robbed of their homeland, the dwarves of Erebor wandered the wilderness, a once mighty"
Bilbo," The young dwarf prince took work where he could find it, laboring in the villages of men, but always he remembered the mountain smoke beneath the moon, the trees like torches blazing bright, for he had seen dragon fire in the sky, and his city turned to ash, and never forgave, and he never forgot."
Bilbo," That, my dear Frodo, is where I come in. For quite by chance, and the will of a Wizard, fate decided I would become part of this tale. It began, well, it began as you might expect. In a hole in the ground, there lived a Hobbit. Not a nasty, dirty, wet hole, full of worms and oozy smells; this was a Hobbithole, and that means good food, a warm hearth, and all the comforts of home."
Bilbo, Thank you.
Frodo, What’s this?
Bilbo, That is private. Keep your sticky paws off. It’s not ready yet.
Frodo, Not ready for what?
Bilbo, Reading.
Bilbo, What on earth are these?
Frodo, Replies to the party invitations.
Bilbo, Oh! Good gracious! Is it today?
Frodo, They all said they’re coming. Except for the SackvilleBagginses; they’re demanding you ask them in person.
Bilbo," Are they, indeed? Over my dead body."
Frodo, They’d probably find that quite agreeable! They seem to think you have tunnels overflowing with gold.
Bilbo," It was one small chest, hardly overflowing. And it still smells of troll."
Frodo, What on earth are you doing?
Bilbo," Taking precautions. You know, I caught her making off with the silverware once."
Frodo, Who?
Bilbo, Lobelia SackvilleBaggins. She had all my spoons stuffed in her pockets. Hah! Dreadful
Frodo, When you’re...what?
Bilbo, It’s nothing. Nothing.
Frodo," You know, some people are beginning to wonder about you, Uncle. They think you’re"
Bilbo, Odd? Hmm.
Frodo, Unsociable.
Bilbo, Unsociable? Me? Nonsense. Be a good lad and put that on the gate.
Frodo, You think he’ll come?
Bilbo, Who?
Frodo, Gandalf.
Bilbo," Ahhh. He wouldn’t miss a chance to lit up his whizpoppers! He’ll give us quite a show, you’ll see."
Frodo," Alright then, I’m off."
Bilbo, Off to where?
Frodo, East Farthing woods. I’m going to surprise him.
Bilbo," Well, go on then! You don’t want to be late."
Bilbo," He doesn’t approve of being late. Not that I ever was. In those days, I was always on time. I was entirely respectable. And nothing unexpected ever happened."
Bilbo, Good morning.
Gandalf," What do you mean? Do you mean to wish me a good morning, or do you mean that it is a good morning whether I want it or not? Or, perhaps you mean to say that you feel good on this particular morning. Or are you simply stating that this is a morning to be good on?"
Bilbo," All of them at once, I suppose."
Bilbo, Can I help you?
Gandalf, That remains to be seen. I’m looking for someone to share in an adventure.
Bilbo," An adventure? Now, I don’t imagine anyone west of Bree would have much interest in"
Bilbo, Good morning.
Gandalf," To think that I should have lived to be goodmorninged by Belladonna Took’s son, as if I"
Bilbo, Beg your pardon?
Gandalf," You’ve changed, and not entirely for the better, Bilbo Baggins."
Bilbo," I’m sorry, do I know you?"
Gandalf," Well, you know my name, although you don’t remember I belong to it. I’m Gandalf! And"
Bilbo," Gandalf...not Gandalf, the wandering Wizard, who made such excellent fireworks! Old Took used to have them on Midsummer’s Eve. Ha, ha! Well. Hmm, I had no idea you were still in business."
Gandalf, And where else should I be?
Bilbo," Ha, ha! Hm, hmm..."
Gandalf," Well, I’m pleased to find your remember something about me, even if it’s only my fireworks. Well that’s decided. It will be very good for you, and most amusing for me. I shall inform the others."
Bilbo," Inform the who? What? No. No. No! Wait. We do not want any adventures here, thank you. Not today, notmm. I suggest you try over the Hill or across the Water. Good morning."
Bilbo, Ah.
Dwalin," Dwalin, at your service."
Bilbo," Bilbo Baggins, at yours."
Bilbo, D-do we know each other?
Dwalin," No. Which way, laddie? Is it down here?"
Bilbo, I-is what down where?
Dwalin," Supper. He said there’d be food, and lots of it."
Bilbo, H-He said? Who said?
Dwalin," Mmmm. … Very good, this. Any more?"
Bilbo," What? Uh, oh, yes, yes"
Dwalin, Ah.
Bilbo, Help yourself.
Bilbo," Mmmm. It’s just that, um, I wasn’t expecting company."
Dwalin, That’ll be the door.
Balin," Balin, at your service."
Bilbo, Good evening.
Balin," Yes, yes it is, though I think it might rain later. Am I late?"
Bilbo, Late for what?
Balin," Oh, ha ha! Evening, brother. Heh, heh."
Dwalin," Oh, by my beard, you are shorter and wider than last we met.’"
Balin," Wider, not shorter. Sharp enough for both of us."
Bilbo," Uh, excuse me; sorry, I hate to interrupt, ah, but the thing is, I’m not entirely sure you’re in the right house."
Dwalin, Have you eaten?
Bilbo," It’s not that I don’t like visitors; I-I like visitors as much as the next Hobbit, but I do like to"
Balin," Ah, that looks very nice indeed."
Dwalin, [indistinguishable]
Dwalin, What’s this?
Balin," I don’t know, [indistinguishable] cheese."
Bilbo," The thing is, um"
Balin, It’s gone blue.
Dwalin, It’s riddled with mold.
Bilbo," The thing is, um, I, I don’t know either of you, not in the slightest. I don’t mean to be blunt, but I uh, but I had to speak my mind. I’m sorry."
Balin, [indistinguishable]
Balin, Hm. Apology accepted.
Bilbo, Mm!
Balin," Ah, now fill it up, brother, don’t stint. I could eat again, if you insist."
Fili, Fili.
Kili, And Kili.
 together, At your service.
Kili, You must be Mr. Boggins.
Bilbo," Nope, you can’t come in, you’ve come to the wrong house."
Kili, What? Has it been cancelled?
Fili, No one told us.
Bilbo, Can--? No--nothing’s been cancelled.
Kili," Well, that’s a relief."
Fili," Careful with these, I just had ‘em sharpened."
Kili," It’s nice, this place. D’you you do it yourself?"
Bilbo," Ah, no, it’s been in the family for years. That’s my mother’s glory box, can you please not do that?!"
Dwalin," Fili, Kili, come on, give us a hand."
Kili, Mister Dwalin.
Balin," Let’s shove this in the hallway, otherwise we’ll never get everyone in."
Bilbo, Eveveryone? How many more are there?
Fili or Kili, Where do you want this?
Bilbo," Oh no. No, no! There’s nobody home. Go away, and bother somebody else. There’s far too many dwarves in my dining room as it is. If-if-If this is some clotterd’s idea of a joke, ha ha, I can only say, it is in very poor taste."
Bilbo, Gandalf.
Bilbo," Those are my plates! Excuse me! Not my wine. Put that back. Put that back! Not the jam, please! ...Excuse me."
Bilbo," Excuse me. A tad excessive, isn’t it? Have you got a cheese knife?"
Bofur, Cheese knife? He eats it by the block.
Bilbo," No, no, that’s Grandpa Mungo's chair! No, I’m sorry, you’ll have to take it back please. Take it back...It’s antique, not for sitting on! Thank you! That’s a book, not a coaster. Put that map down, thank you."
Oin, I cannot hear what you’re saying!
Dori," Excuse me, Mr. Gandalf, can I tempt you with a nice cup of chamomile tea?"
Gandalf," Oh, no thank you, Dori. A little red wine for me, I think."
Gandalf," Fili, Kili, Oin, Gloin, Dwalin, Balin, Bifur, Bofur, Bombur, Dori, Nori...Ori."
Gandalf," Yes, you’re quite right, Bifur. We appear to be one dwarf short."
Dwalin," He is late, is all. He travelled North to a meeting of our kin. He will come."
Dori, Mr. Gandalf?
Gandalf, Hmmm?
Dori," A little glass of red wine, as requested. It’s, eh, got a fruity bouquet."
Gandalf," Ah, Cheers."
Gandalf, Mm.
Bofur," Bombur, catch!"
Fili, Who wants an ale? There you go.
Dwalin, Let him have another drink!
Fili, Here you go.
Bilbo," Excuse me, that is a doily, not a dishcloth!"
Bofur, But it’s full of holes!
Bilbo," It’s supposed to look like that, it’s crochet."
Bofur," Oh, and a wonderful game it is too, if you got the balls for it."
Bilbo, Bebother and confusticate these dwarves!
Gandalf," My dear Bilbo, what on earth is the matter?"
Bilbo, What’s the matter? I’m surrounded by dwarves. What are they doing here?
Gandalf," Oh, they’re quite a merry gathering, once you get used to them."
Bilbo," I don’t want to get used to them. The state of my kitchen! There’s mud trod into the carpet, they’ve pipillaged the pantry. I’m not even going to tell you what they’ve done in the bathroom; they’ve all but destroyed the plumbing. I don’t understand what they’re doing in my house!"
Ori," Excuse me. I’m sorry to interrupt, but what should I do with my plate?"
Fili," Here you go, Ori, give it to me."
Gandalf, Oh!
Bilbo," Excuse me, that’s my mother’s West Farthing crockery, it’s over a hundred years old!"
Bilbo, And can-can you not do that? You’ll blunt them!
Bofur," Ooh, d’hear that, lads? He says we’ll blunt the knives."
Gandalf, He is here.
Thorin," Gandalf. I thought you said this place would be easy to find. I lost my way, twice. Wouldn’t have found it at all had it not been for that mark on the door."
Bilbo, Mark? There’s no mark on that door. It was painted a week ago!
Gandalf," There is a mark; I put it there myself. Bilbo Baggins, allow me to introduce the leader of our company, Thorin Oakenshield."
Thorin," So, this is the Hobbit. Tell me, Mr. Baggins, have you done much fighting?"
Bilbo, Pardon me?
Thorin, Axe or sword? What’s your weapon of choice?
Bilbo," Well, I have some skill at Conkers, if you must know, but I fail to see why that’s relevant."
Thorin, Thought as much. He looks more like a grocer than a burglar.
Balin, What news from the meeting in Ered Luin? Did they all come?
Thorin, Aye. Envoys from all seven kingdoms.
Dwalin, What do the dwarves of the Iron Hills say? Is Dain with us?
Thorin, They will not come.
Thorin," They say this quest is ours, and ours alone."
Bilbo, You’re going on a quest?
Gandalf," Bilbo, my dear fellow, let us have a little more light."
Gandalf," Far to the East, over ranges and rivers, beyond woodlands and wastelands, lies a single solitary peak."
reading the map, The Lonely Mountain.
Gloin," Aye. Oin has read the portents, and the portents say it is time."
Oin," Ravens have been seen flying back to the mountain as it was foretold: When the birds of yore return to Erebor, the reign of the beast will end."
Bilbo," Uh, What beast?"
Bofur," Well that would be a reference to Smaug the Terrible, chiefest and greatest calamity of our age. Airborne firebreather, teeth like razors, claws like meathooks, extremely fond of precious"
Bilbo," Yes, I know what a dragon is."
Ori, I’m not afraid! I’m up for it. I’ll give him a taste of the Dwarfish iron right up his jacksie.
Dori, Sit down!
Balin," The task would be difficult enough with an army behind us. But we number just thirteen, and not thirteen of the best, nor brightest."
Oin, What did he say?
Fili," We may be few in number, but we’re fighters, all of us, to the last dwarf!"
Kili," And you forget, we have a wizard in our company. Gandalf will have killed hundreds of dragons in his time."
Gandalf," Oh, well, now, uh, I-I-I wouldn’t say that, I- -"
Dori," How many, then?"
Gandalf," Uh, what?"
Dori," Well, how many dragons have you killed? Go on, give us a number!"
Gandalf, Hm.
Thorin," Shazara! [not translated onscreen: Silence!] If we have read these signs, do you not think others will have read them too? Rumours have begun to spread. The dragon Smaug has not been seen for 60 years. Eyes look east to the Mountain, assessing, wondering, weighing the risk. Perhaps the vast wealth of our people now lies unprotected. Do we sit back while others claim what is rightfully ours? Or do we seize this chance to take back Erebor? Du Bekâr! Du Bekâr! [not translated onscreen: To arms! To arms!]"
Balin, You forget: the front gate is sealed. There is no way into the mountain.
Gandalf," That, my dear Balin, is not entirely true."
Thorin, How came you by this?
Gandalf," It was given to me by your father, by Thrain, for safekeeping. It is yours now."
Fili," If there is a key, there must be a door."
Gandalf, These runes speak of a hidden passage to the lower halls.
Kili, There’s another way in!
Gandalf," Well, if we can find it, but dwarf doors are invisible when closed. The answer lies hidden somewhere in this map and I do not have the skill to find it. But there are others in Middleearth who can. The task I have in mind will require a great deal of stealth, and no small amount of courage. But, if we are careful and clever, I believe that it can be done."
Ori, That’s why we need a burglar.
Bilbo," Hm, A good one, too. An expert, I’d imagine."
Gloin, And are you?
Bilbo, Am I what?
Oin, He said he’s an expert! Hey hey!
Bilbo," M--Me? No, no, no, no, no. I’m not a burglar; I’ve never stolen a thing in my life."
Balin, I’m afraid I have to agree with Mr. Baggins. He’s hardly burglar material.
Dwalin," Aye, the wild is no place for gentlefolk who can neither fight nor fend for themselves."
Gandalf," Enough! If I say Bilbo Baggins is a burglar, then a burglar he is."
Gandalf," Hobbits are remarkably light on their feet. In fact, they can pass unseen by most if they choose. And while the dragon is accustomed to the smell of dwarf, the scent of hobbit is all but unknown to him, which gives us a distinct advantage. You asked me to find the fourteenth member of this company, and I have chosen Mr. Baggins. There’s a lot more to him than appearances suggest, and he’s got a great deal more to offer than any of you know, including himself. You must trust me on this."
Thorin, Very well. We will do it your way.
Bilbo," No, no, no."
Thorin, Give him the contract.
Bilbo, Please.
Bofur," Alright, we’re off!"
Balin," It’s just the usual summary of outofpocket expenses, time required, remuneration, funeral arrangements, so forth."
Bilbo, Funeral arrangements?
Thorin, I cannot guarantee his safety.
Gandalf, Understood.
Thorin, Nor will I be responsible for his fate.
Gandalf, Agreed.
reading," Terms: Cash on delivery, up to but not exceeding one fourteenth of total profit, if"
Bofur," Oh, aye, he’ll melt the flesh off your bones in the blink of an eye."
Bilbo, Huh.
Balin," You all right, laddie?"
Bilbo," Uh, yeah...Feel a bit faint."
Bofur, Think furnace with wings.
Bilbo," Air, I-I-I need air."
Bofur," Flash of light, searing pain, then Poof! you’re nothing more than a pile of ash."
Bilbo, Hmmm. Nope.
Gandalf," Ah, very helpful, Bofur."
Bilbo," I’ll be all right, let me just sit quietly for a moment."
Gandalf, You’ve been sitting quietly for far too long. Tell me; when did doilies and your mother’s
Bilbo," I can’t just go running off into the blue. I am a Baggins, of Bag End."
Gandalf," You are also a Took. Did you know that your great-great-great-great-uncle, Bullroarer"
Bilbo, Yes.
Gandalf," Well he could. In the Battle of Green Fields, he charged the goblin ranks. He swung his club so hard it knocked the Goblin King’s head clean off, and it sailed a hundred yards through the air and went down a rabbit hole. And thus the battle was won, and the game of golf invented at the same time."
Bilbo, I do believe you made that up.
Gandalf," Well, all good stories deserve embellishment. You’ll have a tale or two to tell of your own when you come back."
Bilbo, Can you promise that I will come back?
Gandalf," No. And if you do, you will not be the same."
Bilbo," That’s what I thought. Sorry, Gandalf, I can’t sign this. You’ve got the wrong Hobbit."
Balin," It appears we have lost our burglar. Probably for the best. The odds were always against us. After all, what are we? Merchants, miners, tinkers, toymakers; hardly the stuff of legend."
Thorin, There are a few warriors amongst us.
Balin, Old warriors.
Thorin," I will take each and every one of these dwarves over an army from the Iron Hills. For when I called upon them, they came. Loyalty. Honor. A willing heart. I can ask no more than that."
Balin, You don’t have to do this. You have a choice. You’ve done honorably by our people. You
Thorin," From my grandfather to my father, this has come to me. They dreamt of the day when the dwarves of Erebor would reclaim their homeland. There is no choice, Balin. Not for me."
Balin," Then we are with you, laddie. We will see it done."
Bilbo, Hello?
Neighbor, Hey! Mr. Bilbo! Where are you off to?
Bilbo," Can’t stop, I’m already late!"
Neighbor, Late for what?
Bilbo, I’m going on an adventure!
Bilbo, Wait! Wait!
Bilbo, I signed it!
Balin," Everything appears to be in order. Welcome, Master Baggins, to the company of Thorin"
Thorin, Give him a pony.
Bilbo," No, no, no, no, that--that won’t be necessary, thank you, but II’m sure I can keep up on foot. I--I--I’ve done my fair share of walking holidays, you know. I even got as far as Frogmorton"
Oin," Come on, Nori, pay up. Go on."
Oin," Hey, hey, hey!"
Bilbo, What’s that about?
Gandalf," Oh, they took wagers on whether or not you’d turn up. Most of them bet that you wouldn’t."
Bilbo, What did you think?
Gandalf, Hmmm.
Gandalf," My dear fellow, I never doubted you for a second."
Bilbo," Ohh. All this horse hair, I’m having a reaction."
Bilbo," No, no, wait, wait, stop! Stop! We have to turn around."
Gandalf, What on earth is the matter?
Bilbo, I forgot my handkerchief.
Bofur, Here! Use this.
Thorin, Move on.
Gandalf," You’ll have to manage without pocket-handkerchiefs and a good many other things, Bilbo Baggins, before we reach our journey’s end. You were born to the rolling hills and little rivers of the Shire, but home is now behind you; the world is ahead."
Bilbo," Hello, girl. That’s a good girl. It’s our little secret, Myrtle; you must tell no one. sh, sh"
Bilbo, What was that?
Kili, Orcs.
Bilbo, Orcs?
Fili, Throatcutters. There’ll be dozens of them out there. The lowlands are crawling with them.
Kili," They strike in the wee small hours, when everyone’s asleep. Quick and quiet; no screams, just lots of blood."
Thorin, You think that’s funny? You think a night raid by orcs is a joke?
Kili, We didn’t mean anything by it.
Thorin," No, you didn’t. You know nothing of the world."
Balin," Don’t mind him, laddie. Thorin has more cause than most to hate orcs. After the dragon took the Lonely Mountain, King Thror tried to reclaim the ancient dwarf kingdom of Moria. But our enemy had got there first."
Balin," Moria had been taken by legions of Orcs lead by the most vile of all their race: Azog, the"
 in flashback, Nooo!
Balin," Thrain, Thorin’s father, was driven mad by grief. He went missing, taken prisoner or killed, we did not know. We were leaderless. Defeat and death were upon us."
Balin, That is when I saw him: a young dwarf prince facing down the Pale Orc.
Balin," He stood alone against this terrible foe, his armor rent…wielding nothing but an oaken"
Balin," Azog, the Defiler, learned that day that the line of Durin would not be so easily broken."
Balin," Our forces rallied and drove the orcs back. Our enemy had been defeated. But there was no feast, no song, that night, for our dead were beyond the count of grief. We few had survived."
Balin," And I thought to myself then, there is one who I could follow. There is one I could call King."
Bilbo, But the pale orc? What happened to him?
Thorin, He slunk back into the hole whence he came. That filth died of his wounds long ago.
Yazneg, Send word to the Master. We have found the Dwarf-scum.
Dori," Here, Mr. Gandalf, can’t you do something about this deluge?"
Gandalf," It is raining, Master Dwarf, and it will continue to rain until the rain is done. If you wish to change the weather of the world, you should find yourself another wizard."
Bilbo, Are there any?
Gandalf, What?
Bilbo, Other wizards?
Gandalf," There are five of us. The greatest of our order is Saruman, the White. Then there are the two Blue Wizards; you know, I’ve quite forgotten their names."
Bilbo, And who is the fifth?
Gandalf," Well, that would be Radagast, the Brown."
Bilbo, Is he a great Wizard or is he...more like you?
Gandalf," I think he’s a very great wizard, in his own way. He’s a gentle soul who prefers the"
Radagast, Not good; not good at all.
Radagast, Oh no! Sebastian! Good gracious.
Radagast," Move back! Give him some air, for goodness sake!"
Radagast, I don’t understand why it’s not working; it’s not as if it’s witchcraft...
Radagast, Witchcraft. But it is. A dark and powerful magic.
Radagast, Lerya laman naiquentallo [not translated onscreen: Free the animal from the curse]. Sí a hlare ómaquettar [not translated onscreen: Now hear words of my voice] Na coilerya envinyanta [not translated onscreen: Be its life renewed]. Sí a hlare ómaquettar. Na coilerya envinyanta.
Radagast, Where on this good earth did those foul creatures come from?
Radagast, The old fortress? Show me.
Thorin," We’ll camp here for the night. Fili, Kili, look after the ponies. Make sure you stay with them."
Gandalf, A farmer and his family used to live here.
Thorin," Oin, Gloin."
Gloin, Aye?
Thorin, Get a fire going.
Gloin, Right you are.
Gandalf, I think it would be wiser to move on. We could make for the Hidden Valley.
Thorin," I have told you already, I will not go near that place."
Gandalf," Why not? The elves could help us. We could get food, rest, advice."
Thorin, I do not need their advice.
Gandalf, We have a map that we cannot read. Lord Elrond could help us.
Thorin," Help? A dragon attacks Erebor, what help came from the Elves? Orcs plunder Moria,"
Gandalf, You are neither of them. I did not give you that map and key for you to hold on to the past.
Thorin, I did not know that they were yours to keep.
Bilbo," Everything alright? Gandalf, where are you going?"
Gandalf, To seek the company of the only one around here who’s got any sense.
Bilbo, Who’s that?
Gandalf," Myself, Mr. Baggins! I’ve had enough of dwarves for one day."
Thorin," Come on, Bombur, we’re hungry."
 to Balin, Is he coming back?
Bilbo, He’s been a long time.
Bofur, Who?
Bilbo, Gandalf.
Bofur," He’s a wizard! He does as he chooses. Here, do us a favor: take this to the lads."
Bofur," Stop it, you’ve had plenty."
Bilbo, What’s the matter?
Kili, We’re supposed to be looking out for the ponies.
Fili, Only we’ve encountered a slight problem.
Kili, We had sixteen.
Fili, Now there’s fourteen.
Kili, Daisy and Bungo are missing.
Bilbo," Well, that’s not good. That is not good at all. Shouldn’t we tell Thorin?"
Fili," Uhh, no. Let’s not worry him. As our official burglar, we thought you might like to look into it."
Bilbo," Well, uh...look, somesomething big uprooted these trees."
Kili, That was our thinking.
Bilbo," Something very big, and possibly quite dangerous."
Fili, Hey! There’s a light. Over here! Stay down.
Bilbo, What is it?
Kili, Trolls.
Bilbo," He’s got Myrtle and Minty! I think they’re going to eat them, we have to do something."
Kili," Yes; you should. Mountain trolls are slow and stupid, and you’re so small."
Bilbo, N--n--no--
Kili, They’ll never see you.
Bilbo," No, no, no..."
Kili, It’s perfectly safe! We’ll be right behind you.
Fili," If you run into trouble, hoot twice like a barn owl, once like a brown owl."
Bilbo," Twice like a barn owl, twice like a brown--once like a brown? Are you sure this is a good"
Bert," Mutton yesterday, mutton today, and blimey, if it don’t look like mutton again tomorrow."
Tom, Quit yer’ griping. These ain’t sheep. These is West Nags!
William," Oh, I don’t like `orse. I never `ave. Not enough fat on them."
Bert," Well, it’s better than the leathery old farmer. All skin and bone, he was. I’m still picking bits of him out of me teeth."
Bert," Oh, that’s lovely, that is; a floater."
Tom," Oh, might improve the flavor!"
William, Ah! There’s more where that came from.
Bert, Oh no you don’t.
William, Ow! Ow! Ow!
Bert, Sit down.
William, I hope you’re gonna gut these nags. I don’t like the stinky parts.
Bert, I said sit down!
Tom, I’m starving! Are we `aving horse tonight or what?
Bert, Shut your cakehole. You’ll eat what I give ya’.
Tom, How come ‘e’s the cook? Everything tastes the same. Everything tastes like chicken.
William, Except the chicken.
Tom, That tastes like fish!
Bert," I’m just saying, a little appreciation would be nice. ‘Thank you very much, Bert,’ ‘Lovely stew, Bert’; how hard is that? Hmm, it just needs a sprinkle of squirrel dung."
Bert," There, that’s my grog!"
William," Uhh, uhh, sorry."
Bert," Ooh, that is beautifully balanced, that is."
Bert," Wrap your [indistinguishable] around that, mate. Eh? Good, innit? Heh, heh, heh. That’s why I’m the cook."
Tom," Me guts are grumbling, I’ve got to snaffle something. Flesh I need, flesh!"
William, Argh!!! Blimey! Bert! Bert! Look what’s come out of me ‘ooter! It’s got arms and legs and everything.
Tom, What is it?
William," I don’t know, but I don’t like the way it wriggles around!"
Tom, What are you then? An oversized squirrel?
Bilbo," I’m a burglaruhh, Hobbit."
William, A BurglaHobbit?
Tom, Can we cook `im?
William, We can try!
Bert," He wouldn’t make more than a mouthful, not when he’s skinned and boned!"
Tom, Perhaps there’s more BurglarHobbits around these parts. Might be enough for a pie.
Bert, Grab him!
William, It’s too quick!
Tom," Come here, you little... Gotcha! Are there any more of you little fellas `iding where you"
Bilbo, Nope.
William, He’s lying.
Bilbo, No I’m not!
William, Hold his toes over the fire. Make him squeal.
Kili, Drop him!
Tom, You what?
Kili," I said, drop him."
Kili, Bilbo!
Thorin, No!
Tom," Lay down your arms, or we’ll rip his off."
William, Don’t bother cooking them. Let’s just sit on them and squash them into jelly.
Bert, They should be sautéed and grilled with a sprinkle of sage.
Dori, Is this really necessary?
William," Ooh, that does sound quite nice."
Oin," Untie us, you monsters!"
Gloin, Take on someone your own size!
Tom," Never mind the seasoning; we ain’t got all night! Dawn ain’t far away, so let’s get a move on. I don’t fancy being turned to stone."
Bilbo, Wait! You are making a terrible mistake.
Dori," You can’t reason with them, they’re half-wits!"
Bofur, Half-wits? What does that make us?
